sample_name	collecting_institute	analyzing_Institute	library_id
GLOMICON_AWI_12	AWI	NOAA	GLOMICON_AWI_12
GLOMICON_AWI_16	AWI	NOAA	GLOMICON_AWI_16
GLOMICON_AWI_20	AWI	NOAA	GLOMICON_AWI_20
GLOMICON_AWI_4	AWI	NOAA	GLOMICON_AWI_4
GLOMICON_AWI_8	AWI	NOAA	GLOMICON_AWI_8
GLOMICON_BloomMock_1	MOCKBLOOM	NOAA	GLOMICON_BloomMock_1
GLOMICON_BloomMock_10	MOCKBLOOM	NOAA	GLOMICON_BloomMock_10
GLOMICON_BloomMock_30	MOCKBLOOM	NOAA	GLOMICON_BloomMock_30
GLOMICON_BloomMock_4	MOCKBLOOM	NOAA	GLOMICON_BloomMock_4
GLOMICON_BloomMock_6	MOCKBLOOM	NOAA	GLOMICON_BloomMock_6
GLOMICON_EvenMock_1	MOCKEVEN	NOAA	GLOMICON_EvenMock_1
GLOMICON_EvenMock_4	MOCKEVEN	NOAA	GLOMICON_EvenMock_4
GLOMICON_EvenMock_5	MOCKEVEN	NOAA	GLOMICON_EvenMock_5
GLOMICON_EvenMock_A	MOCKEVEN	NOAA	GLOMICON_EvenMock_A
GLOMICON_EvenMock_B	MOCKEVEN	NOAA	GLOMICON_EvenMock_B
GLOMICON_NOC_10	NOC	NOAA	GLOMICON_NOC_10
GLOMICON_NOC_16	NOC	NOAA	GLOMICON_NOC_16
GLOMICON_NOC_22	NOC	NOAA	GLOMICON_NOC_22
GLOMICON_NOC_3	NOC	NOAA	GLOMICON_NOC_3
GLOMICON_NOC_32	NOC	NOAA	GLOMICON_NOC_32
GLOMICON_Roscoff_11	SBR	NOAA	GLOMICON_Roscoff_11
GLOMICON_Roscoff_15	SBR	NOAA	GLOMICON_Roscoff_15
GLOMICON_Roscoff_19	SBR	NOAA	GLOMICON_Roscoff_19
GLOMICON_Roscoff_3	SBR	NOAA	GLOMICON_Roscoff_3
GLOMICON_Roscoff_7	SBR	NOAA	GLOMICON_Roscoff_7
