#SampleID	Analyzing_Institute	Collecting_Institute
cj-BMk13	SBR	BLOOMMOCK
cj-BMk15	SBR	BLOOMMOCK
cj-BMk17	SBR	BLOOMMOCK
cj-BMk21	SBR	BLOOMMOCK
cj-BMk25	SBR	BLOOMMOCK
cj-DAL03	SBR	UDalhousie
cj-DAL09	SBR	UDalhousie
cj-DAL15	SBR	UDalhousie
cj-DAL21	SBR	UDalhousie
cj-DAL27	SBR	UDalhousie
cj-EMk03	SBR	EVENMOCK
cj-EMk08	SBR	EVENMOCK
cj-EMk09	SBR	EVENMOCK
cj-EMk15	SBR	EVENMOCK
cj-EMk17	SBR	EVENMOCK
cj-MBA03	SBR	MBARI
cj-MBA07	SBR	MBARI
cj-MBA12	SBR	MBARI
cj-MBA16	SBR	MBARI
cj-MBA20	SBR	MBARI
cj-NOAA07	SBR	NOAA
cj-NOAA13	SBR	NOAA
cj-NOAA18	SBR	NOAA
cj-NOAA24	SBR	NOAA
cj-NOAA30	SBR	NOAA
cj-ROS01	SBR	SBR
cj-ROS05	SBR	SBR
cj-ROS09	SBR	SBR
cj-ROS13	SBR	SBR
cj-ROS17	SBR	SBR
cj-SOC05	SBR	NOC
cj-SOC12	SBR	NOC
cj-SOC18	SBR	NOC
cj-SOC24	SBR	NOC
cj-SOC28	SBR	NOC
