#SampleID	Analyzing_Institute	Collecting_Institute
Davenport_02_0008	AWI	MBARI
Davenport_06_0008	AWI	MBARI
Davenport_11_0008	AWI	MBARI
Davenport_15_0008	AWI	MBARI
Davenport_19_0008	AWI	MBARI
Framstrait_01_0008	AWI	AWI
Framstrait_05_0008	AWI	AWI
Framstrait_09_0008	AWI	AWI
Framstrait_13_0008	AWI	AWI
Framstrait_17_0008	AWI	AWI
Bedford_01_0049	AWI	UDalhousie
Bedford_07_0049	AWI	UDalhousie
Bedford_13_0049	AWI	UDalhousie
Bedford_19_0049	AWI	UDalhousie
Bedford_25_0049	AWI	UDalhousie
blank_01_0049	AWI	
bloomMock_01_0049	AWI	BLOOMMOCK
bloomMock_02_0049	AWI	BLOOMMOCK
bloomMock_03_0049	AWI	BLOOMMOCK
bloomMock_04_0049	AWI	BLOOMMOCK
bloomMock_05_0049	AWI	BLOOMMOCK
Davenport_02_0049	AWI	MBARI
Davenport_06_0049	AWI	MBARI
Davenport_11_0049	AWI	MBARI
Davenport_15_0049	AWI	MBARI
Davenport_19_0049	AWI	MBARI
evenMock_01_0049	AWI	EVENMOCK
evenMock_02_0049	AWI	EVENMOCK
evenMock_03_0049	AWI	EVENMOCK
evenMock_04_0049	AWI	EVENMOCK
evenMock_05_0049	AWI	EVENMOCK
evenMock_A_0049	AWI	EVENMOCK
evenMock_B_0049	AWI	EVENMOCK
evenMock_C_0049	AWI	EVENMOCK
evenMock_D_0049	AWI	EVENMOCK
evenMock_E_0049	AWI	EVENMOCK
evenMock_F_0049	AWI	EVENMOCK
evenMock_G_0049	AWI	EVENMOCK
evenMock_H_0049	AWI	EVENMOCK
Framstrait_01_0049	AWI	AWI
Framstrait_05_0049	AWI	AWI
Framstrait_09_0049	AWI	AWI
Framstrait_13_0049	AWI	AWI
Framstrait_17_0049	AWI	AWI
LaJolla_03_0049	AWI	NOAA
LaJolla_09_0049	AWI	NOAA
LaJolla_15_0049	AWI	NOAA
LaJolla_21_0049	AWI	NOAA
LaJolla_27_0049	AWI	NOAA
Plymouth_06_0049	AWI	NOC
Plymouth_13_0049	AWI	NOC
Plymouth_19_0049	AWI	NOC
Plymouth_29_0049	AWI	NOC
Plymouth_30_0049	AWI	NOC
